id,reaction_id,reaction_name,pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACTNDH,acetoin dehydrogenase complex,Butanoate metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACt2r,Acetate Reversible Transport via Proton Symport,"Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADCL,4-aminobenzoate synthase,Folate metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADCS,4-amino-4-deoxychorismate synthase,Folate metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK1,Adenylate Kinase,Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK10,adenylate kinase (dTTP),Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK11,adenylate kinase (dUTP),Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK2,adenylate kinase (Inorganic triphosphate),Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK3,Adentylate Kinase (GTP),Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK5,adenylate kinase (CTP),Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK7,adenylate kinase (dATP),Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK8,adenylate kinase (dCTP),Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADK9,adenylate kinase (dGTP),Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADNCNT3tc,Adenosine Transport Cnt3,"Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADOCBLabc,Adenosylcobalamin transport via ABC system,"Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADPRDP,ADPribose Diphosphatase,Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADPT,Adenine Phosphoribosyltransferase,Nucleotide salvage pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADSELK,Adenylyl-Selenate Kinase,Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADSK,Adenylyl-Sulfate Kinase,Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADSL1r,adenylsuccinate lyase,Purine synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADSL2r,adenylosuccinate lyase,Purine synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ADSS,Adenylosuccinate Synthase,Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,AGALASE_OGLYCAN10e,"Alpha-galactosidase, mucin-type O-glycans, extracellular",Mucin O-glycan degradation
