diet,shared_metabolite_id,shared_metabolite_name,producer_species,consumer_species,producer_flux,consumer_flux,candidate_score,crossfeeding_candidate,involves_focus_species
western,ala_L[e],L-alanine,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03,1.6089508763382114,84.69528929277585,1.6089508763382114,True,False
western,ala_L[e],L-alanine,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,1.6089508763382114,2.2241162401733923,1.6089508763382114,True,False
western,ac[e],acetate,Alistipes_shahii_WAL_8301_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,10.85970883527115,1.5591112386941974,1.5591112386941974,True,False
western,ac[e],acetate,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,2.0,1.5591112386941974,1.5591112386941974,True,False
western,asn_L[e],L-asparagine,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03,28.997488519966865,1.5578672761493455,1.5578672761493455,True,False
western,glyc3p[e],Glycerol 3-phosphate,Escherichia_coli_UTI89_UPEC_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,1.4277135060366786,3.0000000000001297,1.4277135060366786,True,False
western,thr_L[e],L-threonine,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,3.802697218691721,1.3247869773408072,1.3247869773408072,True,False
western,thr_L[e],L-threonine,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,2.653278704196589,1.3247869773408072,1.3247869773408072,True,False
western,cys_L[e],L-cysteine,Alistipes_shahii_WAL_8301_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,1.3239036571064997,2.2800495311526316,1.3239036571064997,True,False
western,ptrc[e],Putrescine,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,1.2589074962254465,2.254126879038332,1.2589074962254465,True,False
western,adn[e],Adenosine,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,1.234958357151973,52.13212993323287,1.234958357151973,True,False
western,ins[e],Inosine,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,1.1038371966228675,1.1038371966228695,1.1038371966228675,True,False
western,asn_L[e],L-asparagine,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03,28.997488519966865,1.072633917558807,1.072633917558807,True,False
western,h[e],proton,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03,1.0726339175588058,67.16386339484998,1.0726339175588058,True,False
western,gsn[e],Guanosine,Escherichia_coli_UTI89_UPEC_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,1.0000000000000004,1.3990562749734612,1.0000000000000004,True,False
western,no2[e],Nitrite,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03,1.0000000000000002,1.0187830632737158,1.0000000000000002,True,False
western,gsn[e],Guanosine,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.965370525802928,1.3990562749734612,0.965370525802928,True,False
western,cytd[e],Cytidine,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,0.9644044692844268,9.376156704631176,0.9644044692844268,True,False
western,uri[e],Uridine,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.9999999999999932,0.9644044692844268,0.9644044692844268,True,False
western,glu_L[e],L-glutamate(1-),Escherichia_coli_UTI89_UPEC_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03,15.565904378347684,0.9331410843662676,0.9331410843662676,True,False
western,succ[e],Succinate,Bilophila_wadsworthia_3_1_6_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.9331410843662672,9.257766340174353,0.9331410843662672,True,False
western,succ[e],Succinate,Bilophila_wadsworthia_3_1_6_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.9331410843662672,3.4819644700000003,0.9331410843662672,True,False
western,succ[e],Succinate,Bilophila_wadsworthia_3_1_6_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.9331410843662672,3.056349189821147,0.9331410843662672,True,False
western,h[e],proton,Bilophila_wadsworthia_3_1_6_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.9331410843656682,67.16386339484998,0.9331410843656682,True,False
